st,stname,year,population,domestics,immigrants,bach_share,efi_score,cm_share,ehs_share,ifpbs_share,nrm_share,ttuhos_share,private_gdp
26,Michigan,2005,10051137,9431542,619595,0.24961840900238955,5.564868815495687,0.25656022715755467,0.09201760244796019,0.38371715846197213,0.009025398695076906,0.2586796132374361,430926.1
27,Minnesota,2005,5119598,4781695,337903,0.30874898349735347,5.665553263943816,0.2104366744598712,0.09796748498424256,0.40054185473292564,0.024383089803465707,0.2666708960194948,266330.0
28,Mississippi,2005,2905943,2858479,47464,0.18621293048137255,5.795758430351319,0.25487293275765005,0.089265061631558,0.2776541142274326,0.04039087103893871,0.3378170203444207,84002.1
29,Missouri,2005,5790300,5582463,207837,0.2402494496958534,6.570392935063907,0.21866447881632287,0.09913503714976277,0.37583682877859764,0.019961603386319166,0.28640205186899753,248399.5
30,Montana,2005,940102,918887,21215,0.26824460814652845,6.149229640199658,0.16199355864737747,0.10587319702110512,0.30990165709487,0.09347959161701327,0.3287519956196341,32140.9
31,Nebraska,2005,1761497,1664211,97286,0.2613251183545881,6.829905584169644,0.1808295397066262,0.09441710741488281,0.3456742833851428,0.06199080690071748,0.3170882625926308,80923.9
32,Nevada,2005,2432143,2011888,420255,0.20682195139539916,7.5472410521188396,0.17243036709409543,0.0500320553162141,0.33482385033295575,0.02718776613089021,0.41552596112584456,134744.4
33,New Hampshire,2005,1298492,1221530,76962,0.3125380908165409,7.88943349004283,0.1680227653910914,0.11703531327029305,0.3970568445513714,0.004854384865084861,0.31303069192215915,60452.3
34,New Jersey,2005,8651974,6971448,1680526,0.3428645591988173,5.7821740422897365,0.16879123736200047,0.09083464181110962,0.44521111716884637,0.0028070207601622217,0.29235598289788123,476878.5
35,New Mexico,2005,1932274,1763276,168998,0.25180597193413634,5.581357279872244,0.17006230480704343,0.09345250239332067,0.34034589368948037,0.10639840549914469,0.28974089361101085,62875.2
36,New York,2005,19132610,15073655,4058955,0.3122281778445808,3.6817746520106667,0.10645531989767226,0.09903122512934384,0.5634677468725868,0.0029249008326718675,0.22812080726772518,1138631.1
37,North Carolina,2005,8705407,8125575,579832,0.2518100818210003,6.870290171813406,0.2871779243642583,0.08258354366108962,0.3698115565238161,0.016376302762301606,0.24405067268853442,376512.9
38,North Dakota,2005,646089,631006,15083,0.25684689428765256,6.503321949065456,0.17294217594288522,0.10900758361067162,0.2793192676710599,0.09296353163994607,0.3457674411354372,24629.8
39,Ohio,2005,11463320,11060620,402700,0.23275671445161006,4.855262002963623,0.259978406619488,0.09844029709513187,0.369190961805157,0.009198516385838962,0.2631918180943842,511898.8
40,Oklahoma,2005,3548597,3389424,159173,0.22685092569623933,7.05450155758236,0.19012195242602223,0.09313795002522812,0.32009791150699296,0.09383460903001982,0.3028075770117369,113666.7
41,Oregon,2005,3613202,3263825,349377,0.27418308713276657,4.938773043710306,0.2056858326458953,0.10157302873548514,0.36472706578868214,0.032465974411402095,0.2955480984185353,142341.0
42,Pennsylvania,2005,12449990,11802012,647978,0.2575371233459012,6.213751127595454,0.20698995562203043,0.12820369980609828,0.3814900429449776,0.013054914938493298,0.2702613866884004,548836.0
44,Rhode Island,2005,1067916,935433,132483,0.2884581475245723,4.454535091334166,0.1716858765129879,0.14801781585747315,0.4158761729906161,0.003929093567251462,0.2604910410716714,46913.8
45,South Carolina,2005,4270150,4090980,179170,0.23069878810748806,5.5709580971284565,0.27733297074389296,0.07422836434721092,0.32724156798913284,0.01238715881614548,0.30880993810361784,151401.0
46,South Dakota,2005,775493,755585,19908,0.2412058138772298,7.739948488477396,0.15537508201501785,0.10396150761828388,0.3893825180433039,0.0708755558795655,0.2804053364438288,33998.3
47,Tennessee,2005,5991057,5766782,224275,0.21823350469858294,7.038424737905763,0.2406750747375256,0.104770659388986,0.3127656297876867,0.013401553651461966,0.3283870824343398,250771.0
48,Texas,2005,22778123,19143742,3634381,0.2516538652932737,7.41331891209428,0.2265713142727131,0.07245549940785727,0.33618600540501203,0.06644959760100279,0.2983375833134148,994385.7
49,Utah,2005,2457719,2265010,192709,0.2763264110386164,6.2220387160979795,0.1958626030749984,0.07595355233305698,0.41294438294006386,0.03076388440706743,0.28447557724481337,99797.5
50,Vermont,2005,621215,600022,21193,0.32112916134485125,5.002650044039677,0.18141926333052616,0.13875916202940713,0.3380894625077064,0.02591358377892663,0.3158185283534337,24651.5
51,Virginia,2005,7577105,6829995,747110,0.33103537556290513,7.537867554787837,0.1973460872764367,0.07674272766039282,0.4602696277219886,0.012046567500299619,0.2535949898408823,357102.5
53,Washington,2005,6257305,5487832,769473,0.3030153527458319,5.550951401456263,0.22071351611143175,0.07785632635588219,0.39497908471756327,0.022487786013450653,0.2839632868016722,300143.1
54,West Virginia,2005,1820492,1798608,21884,0.17306395148563233,5.121006585944343,0.20122929490515587,0.11735549055147784,0.26165317732354687,0.10839689176821062,0.31136514545160887,55384.9
55,Wisconsin,2005,5546166,5316349,229817,0.2548020798094616,5.6093989378969225,0.2795357558097228,0.103064668185633,0.3343584199947283,0.019245944796516187,0.26379521121339966,245804.3
56,Wyoming,2005,514157,502552,11605,0.22237626674108818,6.309232222180818,0.1423865218394741,0.05049098800634302,0.2144340795556912,0.29957713239180767,0.293111278206684,27192.4
01,Alabama,2006,4628981,4504464,124517,0.20951609606777208,6.854653736542712,0.26344989902382626,0.08487212615019167,0.32349601279011325,0.031714582099297985,0.2964673799365708,165152.7
02,Alaska,2006,675302,630322,44980,0.26792009965898544,3.704068862439469,0.11446216556693475,0.07699549854364647,0.24925978725737474,0.23948657185880998,0.3197959767732341,37418.6
04,Arizona,2006,6029141,5123426,905715,0.2550942818362863,7.106417012692945,0.19278901327264827,0.08692059800521754,0.3845159335426542,0.032690597860741646,0.30308385731873844,254009.9
05,Arkansas,2006,2821761,2709782,111979,0.18560874236384778,6.348860079793583,0.2655684202660592,0.09091129408485861,0.2844595508862917,0.044422633004344105,0.31463810175844636,98191.6
06,California,2006,36021202,26257025,9764177,0.2905734060974938,4.839985705855214,0.18781667199043753,0.07631338636651043,0.42883421127219623,0.02229419596597116,0.2847415344048847,1819782.9
08,Colorado,2006,4720423,4239086,481337,0.3454199029958704,7.3550642379172535,0.1565158495140127,0.07470902160319116,0.45185544589446947,0.04147696325647644,0.2754427197318502,230201.9
09,Connecticut,2006,3517460,3069690,447770,0.3360370248279039,6.680830028907593,0.23411936581639234,0.09603701388682191,0.4491199611076386,0.002748261253484934,0.21797539793566226,240371.3
10,Delaware,2006,859268,791024,68244,0.2811062523837823,6.480003638654096,0.14468243857459834,0.069399870323247,0.598963237617988,0.006834095211408948,0.18012035827275777,61434.4
12,Florida,2006,18166990,14722749,3444241,0.25284420293198073,7.100013531186387,0.15137889691980244,0.08883514110825279,0.42811451455179056,0.012073585809059192,0.31959786161109505,798328.1
13,Georgia,2006,9155813,8312552,843261,0.2641123186431071,7.110415592465972,0.19890797480299138,0.07536258260333385,0.41437287345143187,0.01396892697540633,0.2973876421668366,420508.0
15,Hawaii,2006,1309731,1093690,216041,0.29462104384847765,5.448253611455795,0.11686798700104237,0.08998950817885149,0.37323461483434506,0.011101573091885189,0.4088063168938759,58449.6
16,Idaho,2006,1468669,1388483,80186,0.23611455330472328,6.491500088129498,0.19585849870578084,0.08719051911923453,0.3554421044893348,0.0701354577357162,0.29137341994993365,51102.7
17,Illinois,2006,12643955,10897921,1746034,0.2880157637310694,6.218852890557746,0.19889808117712657,0.08819114230097827,0.4231751460598838,0.0101442143631146,0.2795914160988968,672792.0
18,Indiana,2006,6332669,6065224,267445,0.21776875663576728,6.5646096322373735,0.3430573240567125,0.09379924976530274,0.2768663635846895,0.016200174579273724,0.27007688801402135,275185.0
19,Iowa,2006,2982644,2862797,119847,0.24261237071074238,6.3895378503275815,0.28293522244927155,0.08559133315479182,0.328358384174863,0.04910723129808239,0.2540078289229911,136159.2
20,Kansas,2006,2762931,2592338,170593,0.28854416921943554,6.777118238395393,0.24191844975166896,0.09226925273949009,0.3236274206278262,0.03990999908429301,0.30227487779672174,115007.0
21,Kentucky,2006,4219239,4110051,109188,0.19934660111633246,5.781794668287168,0.27177513862325425,0.09789617333867705,0.2756383264761538,0.05413282466758322,0.30055753689433184,157530.7
22,Louisiana,2006,4302665,4174986,127679,0.19957191197717739,6.112902594242854,0.3615653481704152,0.06999516384681972,0.22932078604727874,0.07519659102450969,0.26392211091097656,217412.9
23,Maine,2006,1323619,1286586,37033,0.2589631331968134,4.922299574171091,0.18401042074747315,0.14410013319752407,0.3520116743712293,0.021248922667084537,0.2986288490166888,50949.1
24,Maryland,2006,5627367,4941983,685384,0.3527832858999988,6.987304179422779,0.1468007815735523,0.11000277497544701,0.46596570863215847,0.005609496446924492,0.2716212383719177,260162.6
25,Massachusetts,2006,6410084,5504677,905407,0.3673804082800817,6.763435044917903,0.15613663525504753,0.13231562860255314,0.4791081003902656,0.0038595572759674668,0.2285800784761663,375426.0
26,Michigan,2006,10036081,9433349,602732,0.24642587603024443,5.453012025005118,0.25406268646652896,0.09724090243729361,0.3783398358163317,0.011007581135263041,0.25934899414458257,422465.3
27,Minnesota,2006,5163555,4820684,342871,0.30223467946300814,5.789252537819951,0.2073079946794043,0.10283392513161768,0.3962506194320972,0.027168571226307885,0.26643888953057293,266961.7
28,Mississippi,2006,2904978,2850973,54005,0.18733019355892522,5.835721774068781,0.27228333940305965,0.09133449230748089,0.27107741076929776,0.03285096187982858,0.3324537956403332,86642.9
29,Missouri,2006,5842704,5653414,189290,0.24012513829991813,6.990853308728721,0.21332822229808918,0.10217079243007765,0.37948079069312424,0.018916819897899086,0.2861033746808099,249117.6
30,Montana,2006,952692,934218,18474,0.2688010774563703,6.234649866656439,0.1604564460034153,0.10790674387347303,0.31337002941448194,0.08773681340132142,0.33052996730730827,33213.8
31,Nebraska,2006,1772693,1672972,99721,0.2648296205265177,6.791851446759278,0.19064028670125863,0.09443677863539016,0.35201754512047295,0.05226644435820408,0.3106389451846741,83034.9
32,Nevada,2006,2522658,2042473,480185,0.20853355084258499,7.482454578507348,0.16527024410860966,0.050996666314458525,0.34153647375352003,0.033987140384256716,0.40820947543915503,139791.0
33,New Hampshire,2006,1308389,1232029,76360,0.31805830341902214,8.033537172679418,0.1689955108866999,0.11842136849938785,0.40085781273755894,0.005247701429954629,0.3064776064463987,62197.9
34,New Jersey,2006,8661679,6912379,1749300,0.33302341800867674,5.610682924240546,0.1684745013868615,0.09176684705164463,0.44684446858569143,0.002943747147957575,0.2899704358278448,486670.9
35,New Mexico,2006,1962137,1768104,194033,0.2527261360857334,5.503919510695586,0.16190150200322387,0.0934224593285996,0.34925156179082334,0.1048823775108153,0.290542099366538,65369.9
36,New York,2006,19104631,14980519,4124112,0.3111254402573081,3.9142120243747294,0.1053091474368439,0.09818773019110615,0.5693241600949264,0.002986888503798776,0.22419207377332492,1178604.6
37,North Carolina,2006,8917270,8301470,615800,0.24754563513745437,7.041040720111483,0.3110141565840568,0.08269447254710655,0.35444377338112004,0.015384736893676665,0.23646286059403995,403041.6
38,North Dakota,2006,649422,634062,15360,0.26378713693650435,6.753414219553908,0.17268100769706496,0.10752419769460608,0.2763156914318925,0.10404449842407623,0.33943460475236015,25835.2
39,Ohio,2006,11481213,11072176,409037,0.22855594621302303,4.906530524025289,0.2576804278404362,0.10298970561949981,0.367611240438911,0.010027534535838753,0.2616910915653141,510598.9
40,Oklahoma,2006,3594090,3418225,175865,0.22007465531687584,7.205255335950999,0.1966105912220611,0.09141450859793246,0.3131101460657121,0.09765836096931337,0.301206393144981,121779.1
41,Oregon,2006,3670883,3319833,351050,0.27336168352427365,5.246865229496506,0.21389650447770248,0.10363728434037132,0.35769003037004504,0.03479433954053274,0.28998184127134835,149956.0
42,Pennsylvania,2006,12510809,11877954,632855,0.25532832805476763,6.141101965288976,0.20776329217531164,0.13269116063336545,0.37700246905295376,0.013314395717404984,0.2692286824209641,549323.6
44,Rhode Island,2006,1063096,930644,132452,0.29138004993872935,5.008533416816204,0.17654910342209718,0.14754751078946718,0.4177380490662882,0.00398570756624279,0.2541796291559047,48422.1
45,South Carolina,2006,4357847,4178771,179076,0.2288335777180146,5.780696056395295,0.27360253011344565,0.07586040478991343,0.32746563162025705,0.012522855028683904,0.31054857844769995,155080.5
46,South Dakota,2006,783033,766163,16870,0.25021651414226476,7.960548779718432,0.15831917167936677,0.10385531327106981,0.4008688998615835,0.055630224647296,0.2813263905406838,34614.7
47,Tennessee,2006,6088766,5853449,235317,0.2196815040690652,7.160105777247583,0.24031622298421984,0.10556786679999475,0.30905634246826813,0.015444006472246257,0.32961556127527114,257360.3
48,Texas,2006,23359580,19668936,3690644,0.24696551766302938,7.641350482983957,0.2350943767968943,0.07057539878356874,0.333260094845043,0.06872105428844966,0.2923490752860443,1072793.3
49,Utah,2006,2525507,2314781,210726,0.28624576472996627,6.485461014172955,0.20243536222165426,0.07589986285971842,0.4106540684492156,0.03226873265706777,0.2787419738123441,108373.0
50,Vermont,2006,622892,603339,19553,0.3289593644945239,5.05660733870633,0.19089288803595209,0.14227549053924113,0.33538520959312496,0.02412765084307975,0.30731876098860206,24767.3
51,Virginia,2006,7673725,6895891,777834,0.3275432425519195,7.595046399903609,0.18901456687420432,0.07717587505886046,0.4644907916078062,0.012286303824621985,0.2570324626345071,365306.0
53,Washington,2006,6370753,5574713,796040,0.30300689678558973,5.714210508979424,0.22249131221482224,0.07741295870447697,0.3904937959280873,0.024490031826524126,0.2851119013260894,311953.8
54,West Virginia,2006,1827912,1807303,20609,0.16505726884781766,5.659388622921948,0.19847888146427006,0.11851989960054808,0.26774359795190744,0.1050799519461628,0.3101776690371116,56480.0
55,Wisconsin,2006,5577655,5341709,235946,0.25500859384486746,5.616903134371058,0.2837249519942572,0.10397732390850677,0.3313187918624165,0.019703485421293795,0.2612754468135258,250831.3
56,Wyoming,2006,522667,505992,16675,0.2181498801243858,6.636606936638569,0.14220535561998976,0.04702239599050106,0.1951613114840132,0.3247057820228552,0.29090515488264085,31164.8
01,Alabama,2007,4672840,4537170,135670,0.21436829504768876,6.685995405583715,0.26182022626283075,0.08411881751337462,0.3302926327790653,0.029239174057509372,0.2945291493872199,166049.8
02,Alaska,2007,680300,632371,47929,0.26016287289288853,4.202179202422864,0.1113245905467245,0.07334245344554963,0.24469988654851133,0.25173793975142195,0.31889512970779266,39895.2
04,Arizona,2007,6167681,5197212,970469,0.2526333070803915,6.625062238464133,0.19321008423670563,0.08786907606226725,0.3888482942510817,0.031407410428403705,0.2986651350215415,263365.9
05,Arkansas,2007,2848650,2730681,117969,0.19322798564503252,6.248647112865108,0.24794262031965292,0.09200193010327279,0.3033482384740734,0.04340176612627864,0.3133054449767222,97454.9
06,California,2007,36250311,26318883,9931428,0.29469691556584937,4.821544140307964,0.1876411415259272,0.07588613072882015,0.4396912285141617,0.021473216634681155,0.2753082825964097,1860310.4
